Treatment,Condition,Increment,Column,pH,om_pct,K_ppm,Ca_ppm,Mg_ppm,Na_ppm,Fe_ppm,Al_ppm,Ni_ppm,NO3_ppm,NH4_ppm,cec_meq100g,TC_pct,tot_K_ppm,tot_Ca_ppm,tot_Mg_ppm,tot_Al_ppm,tot_Na_ppm,tot_Fe_ppm,tot_Ni_ppm,alk_meqKg
UTC,NB,10,R1,6.8,3.5,105,2781,519,21,24.09,0.3,1.8,1,2.7,18.6,1.7,1650,4398,4140,14640,45,19310,23.1,0.06520500000000001
UTC,NB,10,R2,6.9,3.7,107,2949,543,32,23.91,4.7,1.7,3,2.5,19.7,1.7,1689,4536,4342,15580,49,20210,23.9,0.044663999999999995
UTC,NB,10,R3,6.8,3.6,101,2763,524,27,25.67,0.2,1.6,2,2.5,18.6,1.7,1702,4770,4704,16340,87,20960,25.5,0.0418375
UTC,NB,10,R4,6.9,3.7,98,2762,521,31,24,0.2,1.5,3,2.6,18.5,1.8,1613,4384,4227,14090,44,19530,24.2,0.048087500000000005
UTC,NB,10,R5,6.8,3.8,99,2781,532,32,26.09,0.2,1.5,1,2.6,18.7,1.7,1593,4248,4173,15100,42,19280,23.1,0.032220000000000006
UTC,NB,10,R6,6.9,3.7,101,2859,545,28,28.48,0.3,1.4,1,2.5,19.2,1.6,1566,4408,4282,15230,46,20250,24,0.04567799999999999
MP1,NB,10,R1,6.9,3.7,101,2787,528,26,29.49,0.6,1.4,1,2.6,18.7,1.7,1620,4372,4308,15500,40,19980,23.9,0.054886000000000004
MP1,NB,10,R2,6.9,3.7,101,2747,519,30,24.55,0.2,1.5,3,2.1,18.4,1.7,1697,4419,4341,16010,42,19960,23.9,0.0828785
MP1,NB,10,R3,6.9,3.8,97,2771,519,25,25.96,0.3,1.6,1,2.9,18.5,1.6,1702,4430,4433,16310,46,20540,24.5,0.065275
MP1,NB,10,R4,7,3.7,106,2834,538,24,25.09,1.2,1.4,1,3,19,1.6,1642,4435,4309,15510,46,19700,23.4,0.072705
MP1,NB,10,R5,7,3.7,98,2824,526,28,26.55,0.2,1.4,1,2.7,18.9,1.6,1658,4450,4387,15950,44,20290,23.9,0.108885
MP1,NB,10,R6,6.9,3.7,95,2690,498,29,23.71,0.7,1.6,1,2.7,18,1.7,1683,4472,4408,16120,46,20590,24.4,0.12593249999999998
UTC,Basalt,10,R1,7.2,3.5,101,2830,491,22,26.48,1.2,1.3,4,3.1,18.6,1.6,1740,5147,4996,16780,92,21750,24.8,0.030693000000000005
UTC,Basalt,10,R2,7.1,3.7,99,2917,508,23,25.72,1.8,1.2,4,2.6,19.2,1.6,1524,4639,4543,15050,81,20190,22.3,0.05721999999999999
UTC,Basalt,10,R3,7.1,3.7,104,2880,496,25,23.47,6.7,1.3,4,3,18.9,1.6,1604,4782,4594,15450,82,20150,22.6,0.12030749999999998
UTC,Basalt,10,R4,7,3.8,103,2882,506,31,23.6,6.3,1.3,5,2.7,19,1.6,1501,4932,4624,14960,81,22550,24.4,0.146217
UTC,Basalt,10,R5,7.1,3.6,94,2903,512,27,28.04,0.5,1.1,4,2.6,19.1,1.5,1359,4484,4307,14040,63,19360,21.8,0.12859199999999998
UTC,Basalt,10,R6,7.3,3.7,92,2846,489,25,23.3,8.3,1.3,2,2.3,18.6,1.5,1449,4907,4656,14790,78,20420,24,0.12874499999999997
MP1,Basalt,10,R1,7.3,3.7,93,2809,489,22,22.84,9.8,1.3,2,2.7,18.5,1.7,1477,4878,4558,14780,73,20350,23.5,0.140342
MP1,Basalt,10,R2,7.3,3.7,95,2835,487,23,24.92,0.5,1.4,2,2.6,18.6,1.6,1377,4571,4349,14090,65,19180,21.8,0.151245
MP1,Basalt,10,R3,7.2,3.8,101,2912,500,20,25.8,1.6,1.3,3,2.7,19.1,1.7,1499,4929,4501,14560,77,19950,22.6,0.17429999999999998
MP1,Basalt,10,R4,7.1,3.7,91,2847,490,19,23.84,0.5,1.4,4,2.4,18.6,1.7,1563,4941,4751,15630,74,21150,23.7,0.1550295
MP1,Basalt,10,R5,7.1,3.7,101,2859,489,19,23.74,2.4,1.3,3,2.9,18.7,1.7,1669,5026,4707,15600,107,20970,23.8,0.16090449999999995
MP1,Basalt,10,R6,7.1,3.7,102,2739,489,21,24.63,0.4,1.3,4,3,18.1,1.6,1747,5216,4807,16030,82,21300,23.8,0.16384199999999993
UTC,NB,20,R1,7,3.7,96,2932,546,36,23.39,5.2,1.5,1,2.1,19.6,1.7,1656,4519,4251,15440,59,19910,23.5,0.06520500000000001
UTC,NB,20,R2,6.8,3.9,99,2743,514,34,23.4,0.3,1.6,3,2.7,18.4,1.8,1677,4680,4288,15480,62,20370,24.3,0.044663999999999995
UTC,NB,20,R3,6.9,3.7,98,2753,532,37,24.15,0.3,1.4,3,2.3,18.6,1.7,1742,4811,4563,16380,68,21450,24.9,0.0418375
UTC,NB,20,R4,6.9,4,99,2809,543,37,24.69,0.2,1.5,3,2.1,19,1.7,1795,4795,4559,16540,66,21080,23.7,0.048087500000000005
UTC,NB,20,R5,7.1,3.9,96,2776,529,39,24.16,0.3,1.4,1,2.8,18.7,1.6,1764,4562,4446,16470,69,20810,23.8,0.032220000000000006
