Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/014/523/525/GCA_014523525.1_genomic.fna.gz	13.0075	7.0177	96.72	13.395	NA-NA	HIGH	NA-NA	14	13.395	2877/8094	96.72	136	JAATVL010000043.1 Nitrososphaerales archaeon TH703 k141_10273813, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/001/914/705/GCA_001914705.1_genomic.fna.gz	6.1614	2.6739	97.41	6.345	NA-NA	HIGH	NA-NA	6	6.345	3023/6826	97.41	19	MNDB01000005.1 MAG: Actinobacteria bacterium 13_2_20CM_68_14 13_2_20cm_scaffold_1009, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/935/475/GCA_025935475.1_genomic.fna.gz	4.2932	3.6977	98.51	4.421	NA-NA	HIGH	NA-NA	4	4.421	8365/13336	98.51	23	JAICVE010000473.1 MAG: Nitrospira sp. isolate HEB_FP_1_bin.25 k141_1006373_length_2209_cov_6.0000, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/022/545/895/GCA_022545895.1_genomic.fna.gz	4.2546	3.0182	99.60	4.381	NA-NA	HIGH	NA-NA	4	4.381	9631/10915	99.60	0	JAKEIK010000042.1 MAG: Nitrososphaeraceae archaeon isolate HEB2_70 S1Ck127_1004612, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/013/372/845/GCA_013372845.1_genomic.fna.gz	3.9735	3.5408	97.57	4.092	NA-NA	HIGH	NA-NA	3	4.092	6383/13686	97.57	20	JAALOD010000001.1 MAG: Candidatus Udaeobacter sp. isolate AEW3 Udaeo2_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/020/029/625/GCA_020029625.1_genomic.fna.gz	3.8223	1.5510	95.85	3.936	NA-NA	HIGH	NA-NA	3	3.936	1725/6413	95.85	38	JAIBJP010000001.1 MAG: Actinobacteria bacterium isolate CR_Sed_300A_bin.99 scaffold_1, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/025/924/135/GCA_025924135.1_genomic.fna.gz	3.7672	2.4219	98.64	3.879	NA-NA	HIGH	NA-NA	3	3.879	6511/9962	98.64	1	JAICEO010000001.1 MAG: Nitrososphaeraceae archaeon isolate BD_FP_2_bin.31 k141_295467_length_53947_cov_9.1360, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/005/883/445/GCA_005883445.1_genomic.fna.gz	3.4491	4.6788	98.69	3.552	NA-NA	HIGH	NA-NA	3	3.552	13998/21047	98.69	4	VAZL01000931.1 MAG: Alphaproteobacteria bacterium isolate AP_7 14_0903_12_30cm_scaffold_100647, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/003/219/925/GCA_003219925.1_genomic.fna.gz	1.4096	0.8198	98.16	1.452	98.03-98.25	1.452	1.36-1.56	2	2.513	3969/9116	97.35	0	QHQU01000334.1 MAG: Verrucomicrobia bacterium isolate AV12 14_0927_12_20cm_scaffold_100789_curated, whole genome shotgun sequence
/scratch/alpine/clbd1748/AndesAg/Comb/A-R2-30_R1_combined.fastq.gz	gtdb_genomes_reps_r220/database/GCA/014/523/595/GCA_014523595.1_genomic.fna.gz	1.3082	0.4337	97.87	1.347	97.69-98.03	1.347	1.21-1.47	2	1.957	1976/5107	96.98	27	JAATVN010000047.1 Nitrososphaerales archaeon TH5888 k141_10314036, whole genome shotgun sequence
